,SRO
2188.8MHz,13.56
2189.0MHz,15.25
2189.2MHz,15.25
2189.4MHz,16.95
2189.6MHz,15.25
2189.8MHz,13.56
2190.0MHz,13.56
2190.2MHz,13.56
2190.4MHz,11.86
2190.6MHz,13.56
2190.8MHz,11.86
2191.0MHz,11.86
2191.2MHz,11.86
2191.4MHz,10.17
2191.6MHz,0.0
2191.8MHz,0.0
2192.0MHz,0.0
2192.2MHz,0.0
2192.4MHz,0.0
2192.6MHz,0.0
2192.8MHz,0.0
2193.0MHz,0.0
2193.2MHz,0.0
2193.4MHz,0.0
2193.6MHz,0.0
2193.8MHz,0.0
2194.0MHz,0.0
2194.2MHz,0.0
2194.4MHz,0.0
2194.6MHz,0.0
2194.8MHz,0.0
2195.0MHz,0.0
2195.2MHz,0.0
2195.4MHz,1.69
2195.6MHz,0.0
2195.8MHz,0.0
2196.0MHz,0.0
2196.2MHz,0.0
2196.4MHz,0.0
2196.6MHz,0.0
2196.8MHz,0.0
2197.0MHz,0.0
2197.2MHz,0.0
2197.4MHz,0.0
2197.6MHz,1.69
2197.8MHz,1.69
2198.0MHz,1.69
2198.2MHz,3.39
2198.4MHz,3.39
2198.6MHz,8.47
2198.8MHz,5.08
2199.0MHz,0.0
2199.2MHz,0.0
2199.4MHz,0.0
2199.6MHz,0.0
2199.8MHz,0.0
2200.0MHz,0.0
2200.2MHz,0.0
2200.4MHz,0.0
2200.6MHz,0.0
2200.8MHz,0.0
2201.0MHz,0.0
2201.2MHz,0.0
2201.4MHz,1.69
2201.6MHz,1.69
2201.8MHz,1.69
2202.0MHz,1.69
2202.2MHz,0.0
2202.4MHz,0.0
2202.6MHz,0.0
2202.8MHz,0.0
2203.0MHz,0.0
2203.2MHz,0.0
2203.4MHz,0.0
2203.6MHz,0.0
2203.8MHz,0.0
2204.0MHz,0.0
2204.2MHz,0.0
2204.4MHz,0.0
2204.6MHz,0.0
2204.8MHz,0.0
2205.0MHz,0.0
2205.2MHz,0.0
2205.4MHz,13.56
2205.6MHz,15.25
2205.8MHz,1.69
2206.0MHz,0.0
2206.2MHz,0.0
2206.4MHz,0.0
2206.6MHz,0.0
2206.8MHz,0.0
2207.0MHz,0.0
2207.2MHz,0.0
2207.4MHz,0.0
2207.6MHz,3.39
2207.8MHz,5.08
2208.0MHz,0.0
2208.2MHz,0.0
2208.4MHz,0.0
2208.6MHz,0.0
2208.8MHz,0.0
2209.0MHz,0.0
2209.2MHz,0.0
2209.4MHz,1.69
2209.6MHz,1.69
2209.8MHz,1.69
2210.0MHz,1.69
2210.2MHz,1.69
2210.4MHz,1.69
2210.6MHz,1.69
2210.8MHz,0.0
2211.0MHz,0.0
2211.2MHz,1.69
2211.4MHz,1.69
2211.6MHz,1.69
2211.8MHz,3.39
2212.0MHz,3.39
2212.2MHz,5.08
2212.4MHz,15.25
2212.6MHz,23.73
